frame,kind,death_cause,gender,number of agents
0,fox,alive,female,21
0,fox,alive,male,29
0,grass,alive,---,972
0,grass,eaten,---,28
0,rabbit,alive,female,21
0,rabbit,alive,male,29
1,fox,alive,female,21
1,fox,alive,male,29
1,grass,alive,---,964
1,grass,eaten,---,23
1,rabbit,alive,female,21
1,rabbit,alive,male,29
2,fox,alive,female,21
2,fox,alive,male,29
2,grass,alive,---,958
2,grass,eaten,---,14
2,rabbit,alive,female,21
2,rabbit,alive,male,29
3,fox,alive,female,21
3,fox,alive,male,29
3,grass,alive,---,955
3,grass,eaten,---,12
3,rabbit,alive,female,21
3,rabbit,alive,male,29
4,fox,alive,female,21
4,fox,alive,male,29
4,grass,alive,---,955
4,grass,eaten,---,6
4,rabbit,alive,female,21
4,rabbit,alive,male,29
5,fox,alive,female,21
5,fox,alive,male,29
5,grass,alive,---,954
5,grass,eaten,---,1
5,rabbit,alive,female,21
5,rabbit,alive,male,29
6,fox,alive,female,21
6,fox,alive,male,29
6,grass,alive,---,954
6,rabbit,alive,female,21
6,rabbit,alive,male,29
7,fox,alive,female,21
7,fox,alive,male,29
7,grass,alive,---,953
7,grass,eaten,---,1
7,rabbit,alive,female,21
7,rabbit,alive,male,29
8,fox,alive,female,21
8,fox,alive,male,29
8,grass,alive,---,950
8,grass,eaten,---,3
8,rabbit,alive,female,21
8,rabbit,alive,male,29
9,fox,alive,female,21
9,fox,alive,male,29
9,grass,alive,---,948
9,grass,eaten,---,4
9,rabbit,alive,female,20
9,rabbit,alive,male,28
9,rabbit,eaten,female,1
9,rabbit,eaten,male,1
10,fox,alive,female,21
10,fox,alive,male,29
10,grass,alive,---,946
10,grass,eaten,---,4
10,rabbit,alive,female,20
10,rabbit,alive,male,28
11,fox,alive,female,21
11,fox,alive,male,29
11,grass,alive,---,944
11,grass,eaten,---,4
11,rabbit,alive,female,20
11,rabbit,alive,male,28
12,fox,alive,female,21
12,fox,alive,male,29
12,grass,alive,---,939
12,grass,eaten,---,8
12,rabbit,alive,female,20
12,rabbit,alive,male,28
13,fox,alive,female,21
13,fox,alive,male,29
13,grass,alive,---,938
13,grass,eaten,---,4
13,rabbit,alive,female,20
13,rabbit,alive,male,28
14,fox,alive,female,21
14,fox,alive,male,29
14,grass,alive,---,937
14,grass,eaten,---,5
14,rabbit,alive,female,20
14,rabbit,alive,male,28
15,fox,alive,female,21
15,fox,alive,male,29
15,grass,alive,---,937
15,grass,eaten,---,3
15,rabbit,alive,female,20
15,rabbit,alive,male,28
16,fox,alive,female,21
16,fox,alive,male,29
16,grass,alive,---,936
16,grass,eaten,---,2
16,rabbit,alive,female,20
16,rabbit,alive,male,28
17,fox,alive,female,21
17,fox,alive,male,29
17,grass,alive,---,937
17,rabbit,alive,female,19
17,rabbit,alive,male,28
17,rabbit,eaten,female,1
18,fox,alive,female,21
18,fox,alive,male,29
18,grass,alive,---,937
18,rabbit,alive,female,19
18,rabbit,alive,male,28
19,fox,alive,female,21
19,fox,alive,male,29
19,grass,alive,---,935
19,grass,eaten,---,2
19,rabbit,alive,female,19
19,rabbit,alive,male,28
20,fox,alive,female,21
20,fox,alive,male,29
20,grass,alive,---,933
20,grass,eaten,---,3
20,rabbit,alive,female,19
20,rabbit,alive,male,28
21,fox,alive,female,21
21,fox,alive,male,29
21,grass,alive,---,933
21,grass,eaten,---,2
21,rabbit,alive,female,19
21,rabbit,alive,male,28
22,fox,alive,female,21
22,fox,alive,male,29
22,grass,alive,---,932
22,grass,eaten,---,2
22,rabbit,alive,female,19
22,rabbit,alive,male,28
23,fox,alive,female,21
23,fox,alive,male,29
23,grass,alive,---,932
23,grass,eaten,---,2
23,rabbit,alive,female,19
23,rabbit,alive,male,28
24,fox,alive,female,21
24,fox,alive,male,29
24,grass,alive,---,931
24,grass,eaten,---,2
24,rabbit,alive,female,19
24,rabbit,alive,male,28
25,fox,alive,female,21
25,fox,alive,male,29
25,grass,alive,---,929
25,grass,eaten,---,3
25,rabbit,alive,female,19
25,rabbit,alive,male,28
26,fox,alive,female,20
26,fox,alive,male,29
26,grass,alive,---,926
26,grass,eaten,---,4
26,rabbit,alive,female,19
26,rabbit,alive,male,27
26,rabbit,eaten,male,1
27,fox,alive,female,20
27,fox,alive,male,29
27,grass,alive,---,925
27,grass,eaten,---,4
27,rabbit,alive,female,19
27,rabbit,alive,male,27
28,fox,alive,female,20
28,fox,alive,male,29
28,grass,alive,---,920
28,grass,eaten,---,7
28,rabbit,alive,female,19
28,rabbit,alive,male,27
29,fox,alive,female,20
29,fox,alive,male,29
29,grass,alive,---,918
29,grass,eaten,---,8
29,rabbit,alive,female,19
29,rabbit,alive,male,27
30,fox,alive,female,20
30,fox,alive,male,29
30,grass,alive,---,916
30,grass,eaten,---,6
30,rabbit,alive,female,19
30,rabbit,alive,male,27
31,fox,alive,female,20
31,fox,alive,male,28
31,grass,alive,---,915
31,grass,eaten,---,4
31,rabbit,alive,female,19
31,rabbit,alive,male,27
32,fox,alive,female,20
32,fox,alive,male,28
32,grass,alive,---,915
32,grass,eaten,---,2
32,rabbit,alive,female,19
32,rabbit,alive,male,27
33,fox,alive,female,20
33,fox,alive,male,27
33,grass,alive,---,914
33,grass,eaten,---,2
33,rabbit,alive,female,19
33,rabbit,alive,male,27
34,fox,alive,female,20
34,fox,alive,male,26
34,grass,alive,---,913
34,grass,eaten,---,3
34,rabbit,alive,female,19
34,rabbit,alive,male,27
35,fox,alive,female,20
35,fox,alive,male,26
35,grass,alive,---,911
35,grass,eaten,---,4
35,rabbit,alive,female,19
35,rabbit,alive,male,27
36,fox,alive,female,20
36,fox,alive,male,26
36,grass,alive,---,909
36,grass,eaten,---,4
36,rabbit,alive,female,19
36,rabbit,alive,male,27
37,fox,alive,female,20
37,fox,alive,male,26
37,grass,alive,---,907
37,grass,eaten,---,4
37,rabbit,alive,female,19
37,rabbit,alive,male,27
38,fox,alive,female,20
38,fox,alive,male,26
38,grass,alive,---,905
38,grass,eaten,---,6
38,rabbit,alive,female,18
38,rabbit,alive,male,27
38,rabbit,eaten,female,1
39,fox,alive,female,20
39,fox,alive,male,26
39,grass,alive,---,904
39,grass,eaten,---,2
39,rabbit,alive,female,18
39,rabbit,alive,male,27
40,fox,alive,female,20
40,fox,alive,male,26
40,grass,alive,---,901
40,grass,eaten,---,4
40,rabbit,alive,female,18
40,rabbit,alive,male,27
41,fox,alive,female,20
41,fox,alive,male,26
41,grass,alive,---,900
41,grass,eaten,---,4
41,rabbit,alive,female,18
41,rabbit,alive,male,27
42,fox,alive,female,20
42,fox,alive,male,26
42,grass,alive,---,899
42,grass,eaten,---,2
42,rabbit,alive,female,18
42,rabbit,alive,male,27
43,fox,alive,female,20
43,fox,alive,male,26
43,grass,alive,---,896
43,grass,eaten,---,4
43,rabbit,alive,female,18
43,rabbit,alive,male,27
44,fox,alive,female,20
44,fox,alive,male,26
44,grass,alive,---,897
44,grass,eaten,---,1
44,rabbit,alive,female,18
44,rabbit,alive,male,27
45,fox,alive,female,20
45,fox,alive,male,26
45,grass,alive,---,897
45,grass,eaten,---,1
45,rabbit,alive,female,18
45,rabbit,alive,male,27
46,fox,alive,female,20
46,fox,alive,male,26
46,grass,alive,---,896
46,grass,eaten,---,1
46,rabbit,alive,female,18
46,rabbit,alive,male,27
47,fox,alive,female,20
47,fox,alive,male,26
47,grass,alive,---,892
47,grass,eaten,---,5
47,rabbit,alive,female,18
47,rabbit,alive,male,27
48,fox,alive,female,20
48,fox,alive,male,26
48,grass,alive,---,890
48,grass,eaten,---,4
48,rabbit,alive,female,18
48,rabbit,alive,male,27
49,fox,alive,female,20
49,fox,alive,male,26
49,grass,alive,---,889
49,grass,eaten,---,3
49,rabbit,alive,female,18
49,rabbit,alive,male,27
50,fox,alive,female,3
50,fox,alive,male,2
50,grass,alive,---,889
50,grass,eaten,---,1
50,rabbit,alive,female,18
50,rabbit,alive,male,24
51,fox,alive,female,3
51,fox,alive,male,2
51,grass,alive,---,889
51,rabbit,alive,female,18
51,rabbit,alive,male,24
52,fox,alive,female,3
52,fox,alive,male,2
52,grass,alive,---,889
52,rabbit,alive,female,18
52,rabbit,alive,male,24
53,fox,alive,female,3
53,fox,alive,male,2
53,grass,alive,---,888
53,grass,eaten,---,1
53,rabbit,alive,female,18
53,rabbit,alive,male,24
54,fox,alive,female,3
54,fox,alive,male,2
54,grass,alive,---,887
54,grass,eaten,---,2
54,rabbit,alive,female,18
54,rabbit,alive,male,24
55,fox,alive,female,3
55,fox,alive,male,2
55,grass,alive,---,886
55,grass,eaten,---,3
55,rabbit,alive,female,18
55,rabbit,alive,male,24
56,fox,alive,female,3
56,fox,alive,male,2
56,grass,alive,---,886
56,rabbit,alive,female,18
56,rabbit,alive,male,24
57,fox,alive,female,3
57,fox,alive,male,2
57,grass,alive,---,886
57,rabbit,alive,female,18
57,rabbit,alive,male,24
58,fox,alive,female,3
58,fox,alive,male,2
58,grass,alive,---,885
58,grass,eaten,---,1
58,rabbit,alive,female,18
58,rabbit,alive,male,24
59,fox,alive,female,3
59,fox,alive,male,2
59,grass,alive,---,885
59,rabbit,alive,female,18
59,rabbit,alive,male,24
60,fox,alive,female,2
60,fox,alive,male,1
60,grass,alive,---,883
60,grass,eaten,---,2
60,rabbit,alive,female,18
60,rabbit,alive,male,24
61,fox,alive,female,2
61,fox,alive,male,1
61,grass,alive,---,883
61,rabbit,alive,female,18
61,rabbit,alive,male,24
62,fox,alive,female,2
62,fox,alive,male,1
62,grass,alive,---,883
62,rabbit,alive,female,18
62,rabbit,alive,male,24
63,fox,alive,female,2
63,fox,alive,male,1
63,grass,alive,---,881
63,grass,eaten,---,2
63,rabbit,alive,female,18
63,rabbit,alive,male,24
64,fox,alive,female,2
64,fox,alive,male,1
64,grass,alive,---,878
64,grass,eaten,---,3
64,rabbit,alive,female,18
64,rabbit,alive,male,24
65,fox,alive,female,2
65,fox,alive,male,1
65,grass,alive,---,877
65,grass,eaten,---,2
65,rabbit,alive,female,18
65,rabbit,alive,male,24
66,fox,alive,female,2
66,fox,alive,male,1
66,grass,alive,---,877
66,rabbit,alive,female,18
66,rabbit,alive,male,24
67,fox,alive,female,2
67,fox,alive,male,1
67,grass,alive,---,877
67,rabbit,alive,female,18
67,rabbit,alive,male,24
68,fox,alive,female,1
68,fox,alive,male,1
68,grass,alive,---,876
68,grass,eaten,---,1
68,rabbit,alive,female,18
68,rabbit,alive,male,24
69,fox,alive,female,1
69,fox,alive,male,1
69,grass,alive,---,874
69,grass,eaten,---,3
69,rabbit,alive,female,18
69,rabbit,alive,male,25
70,fox,alive,female,1
70,fox,alive,male,1
70,grass,alive,---,873
70,grass,eaten,---,1
70,rabbit,alive,female,18
70,rabbit,alive,male,25
71,fox,alive,female,1
71,fox,alive,male,1
71,grass,alive,---,872
71,grass,eaten,---,2
71,rabbit,alive,female,18
71,rabbit,alive,male,25
72,fox,alive,female,1
72,fox,alive,male,1
72,grass,alive,---,872
72,grass,eaten,---,1
72,rabbit,alive,female,18
72,rabbit,alive,male,26
73,fox,alive,female,1
73,fox,alive,male,1
73,grass,alive,---,872
73,grass,eaten,---,1
73,rabbit,alive,female,18
73,rabbit,alive,male,26
74,fox,alive,female,1
74,fox,alive,male,1
74,grass,alive,---,870
74,grass,eaten,---,3
74,rabbit,alive,female,18
74,rabbit,alive,male,26
75,fox,alive,female,1
75,fox,alive,male,1
75,grass,alive,---,868
75,grass,eaten,---,4
75,rabbit,alive,female,18
75,rabbit,alive,male,26
76,fox,alive,female,1
76,fox,alive,male,1
76,grass,alive,---,868
76,grass,eaten,---,2
76,rabbit,alive,female,18
76,rabbit,alive,male,26
77,fox,alive,male,1
77,grass,alive,---,866
77,grass,eaten,---,3
77,rabbit,alive,female,18
77,rabbit,alive,male,26
78,fox,alive,male,1
78,grass,alive,---,866
78,grass,eaten,---,1
78,rabbit,alive,female,18
78,rabbit,alive,male,26
79,fox,alive,male,1
79,grass,alive,---,866
79,grass,eaten,---,1
79,rabbit,alive,female,18
79,rabbit,alive,male,26
80,fox,alive,male,1
80,grass,alive,---,863
80,grass,eaten,---,4
80,rabbit,alive,female,18
80,rabbit,alive,male,26
81,fox,alive,male,1
81,grass,alive,---,863
81,grass,eaten,---,3
81,rabbit,alive,female,18
81,rabbit,alive,male,26
82,fox,alive,male,1
82,grass,alive,---,863
82,grass,eaten,---,1
82,rabbit,alive,female,18
82,rabbit,alive,male,26
