frame,kind,death_cause,gender,number of agents
0,fox,alive,female,28
0,fox,alive,male,22
0,grass,alive,---,980
0,grass,eaten,---,20
0,rabbit,alive,female,29
0,rabbit,alive,male,21
1,fox,alive,female,28
1,fox,alive,male,22
1,grass,alive,---,979
1,grass,eaten,---,12
1,rabbit,alive,female,29
1,rabbit,alive,male,21
2,fox,alive,female,28
2,fox,alive,male,22
2,grass,alive,---,977
2,grass,eaten,---,9
2,rabbit,alive,female,29
2,rabbit,alive,male,21
3,fox,alive,female,28
3,fox,alive,male,22
3,grass,alive,---,976
3,grass,eaten,---,7
3,rabbit,alive,female,29
3,rabbit,alive,male,21
4,fox,alive,female,28
4,fox,alive,male,22
4,grass,alive,---,975
4,grass,eaten,---,5
4,rabbit,alive,female,29
4,rabbit,alive,male,21
5,fox,alive,female,28
5,fox,alive,male,22
5,grass,alive,---,972
5,grass,eaten,---,5
5,rabbit,alive,female,29
5,rabbit,alive,male,21
6,fox,alive,female,28
6,fox,alive,male,22
6,grass,alive,---,969
6,grass,eaten,---,7
6,rabbit,alive,female,29
6,rabbit,alive,male,21
7,fox,alive,female,28
7,fox,alive,male,22
7,grass,alive,---,966
7,grass,eaten,---,5
7,rabbit,alive,female,29
7,rabbit,alive,male,21
8,fox,alive,female,28
8,fox,alive,male,22
8,grass,alive,---,965
8,grass,eaten,---,3
8,rabbit,alive,female,29
8,rabbit,alive,male,21
9,fox,alive,female,28
9,fox,alive,male,22
9,grass,alive,---,965
9,grass,eaten,---,1
9,rabbit,alive,female,29
9,rabbit,alive,male,20
9,rabbit,eaten,male,1
10,fox,alive,female,28
10,fox,alive,male,22
10,grass,alive,---,964
10,grass,eaten,---,2
10,rabbit,alive,female,29
10,rabbit,alive,male,20
11,fox,alive,female,28
11,fox,alive,male,22
11,grass,alive,---,962
11,grass,eaten,---,4
11,rabbit,alive,female,29
11,rabbit,alive,male,20
12,fox,alive,female,28
12,fox,alive,male,22
12,grass,alive,---,961
12,grass,eaten,---,2
12,rabbit,alive,female,29
12,rabbit,alive,male,20
13,fox,alive,female,28
13,fox,alive,male,22
13,grass,alive,---,960
13,grass,eaten,---,2
13,rabbit,alive,female,29
13,rabbit,alive,male,20
14,fox,alive,female,28
14,fox,alive,male,22
14,grass,alive,---,959
14,grass,eaten,---,3
14,rabbit,alive,female,29
14,rabbit,alive,male,20
15,fox,alive,female,28
15,fox,alive,male,22
15,grass,alive,---,958
15,grass,eaten,---,1
15,rabbit,alive,female,29
15,rabbit,alive,male,20
16,fox,alive,female,28
16,fox,alive,male,22
16,grass,alive,---,956
16,grass,eaten,---,3
16,rabbit,alive,female,29
16,rabbit,alive,male,20
17,fox,alive,female,28
17,fox,alive,male,22
17,grass,alive,---,954
17,grass,eaten,---,3
17,rabbit,alive,female,28
17,rabbit,alive,male,20
17,rabbit,eaten,female,1
18,fox,alive,female,28
18,fox,alive,male,22
18,grass,alive,---,952
18,grass,eaten,---,4
18,rabbit,alive,female,28
18,rabbit,alive,male,20
19,fox,alive,female,28
19,fox,alive,male,22
19,grass,alive,---,948
19,grass,eaten,---,7
19,rabbit,alive,female,28
19,rabbit,alive,male,20
20,fox,alive,female,28
20,fox,alive,male,22
20,grass,alive,---,948
20,grass,eaten,---,3
20,rabbit,alive,female,28
20,rabbit,alive,male,20
21,fox,alive,female,28
21,fox,alive,male,22
21,grass,alive,---,947
21,grass,eaten,---,3
21,rabbit,alive,female,28
21,rabbit,alive,male,20
22,fox,alive,female,28
22,fox,alive,male,22
22,grass,alive,---,944
22,grass,eaten,---,4
22,rabbit,alive,female,28
22,rabbit,alive,male,20
23,fox,alive,female,28
23,fox,alive,male,22
23,grass,alive,---,941
23,grass,eaten,---,3
23,rabbit,alive,female,28
23,rabbit,alive,male,20
24,fox,alive,female,28
24,fox,alive,male,22
24,grass,alive,---,939
24,grass,eaten,---,2
24,rabbit,alive,female,27
24,rabbit,alive,male,20
24,rabbit,eaten,female,1
25,fox,alive,female,28
25,fox,alive,male,22
25,grass,alive,---,937
25,grass,eaten,---,2
25,rabbit,alive,female,27
25,rabbit,alive,male,20
26,fox,alive,female,28
26,fox,alive,male,22
26,grass,alive,---,936
26,grass,eaten,---,2
26,rabbit,alive,female,27
26,rabbit,alive,male,20
27,fox,alive,female,28
27,fox,alive,male,22
27,grass,alive,---,935
27,grass,eaten,---,2
27,rabbit,alive,female,27
27,rabbit,alive,male,20
28,fox,alive,female,28
28,fox,alive,male,22
28,grass,alive,---,934
28,grass,eaten,---,1
28,rabbit,alive,female,27
28,rabbit,alive,male,20
29,fox,alive,female,28
29,fox,alive,male,21
29,grass,alive,---,934
29,rabbit,alive,female,27
29,rabbit,alive,male,20
30,fox,alive,female,28
30,fox,alive,male,21
30,grass,alive,---,932
30,grass,eaten,---,2
30,rabbit,alive,female,27
30,rabbit,alive,male,20
31,fox,alive,female,28
31,fox,alive,male,21
31,grass,alive,---,930
31,grass,eaten,---,4
31,rabbit,alive,female,27
31,rabbit,alive,male,20
32,fox,alive,female,28
32,fox,alive,male,21
32,grass,alive,---,930
32,grass,eaten,---,1
32,rabbit,alive,female,27
32,rabbit,alive,male,20
33,fox,alive,female,28
33,fox,alive,male,21
33,grass,alive,---,929
33,grass,eaten,---,2
33,rabbit,alive,female,27
33,rabbit,alive,male,20
34,fox,alive,female,27
34,fox,alive,male,21
34,grass,alive,---,928
34,grass,eaten,---,1
34,rabbit,alive,female,27
34,rabbit,alive,male,20
35,fox,alive,female,27
35,fox,alive,male,21
35,grass,alive,---,928
35,rabbit,alive,female,27
35,rabbit,alive,male,20
36,fox,alive,female,27
36,fox,alive,male,21
36,grass,alive,---,928
36,rabbit,alive,female,27
36,rabbit,alive,male,20
37,fox,alive,female,27
37,fox,alive,male,21
37,grass,alive,---,927
37,grass,eaten,---,1
37,rabbit,alive,female,27
37,rabbit,alive,male,20
38,fox,alive,female,27
38,fox,alive,male,21
38,grass,alive,---,926
38,grass,eaten,---,1
38,rabbit,alive,female,27
38,rabbit,alive,male,20
39,fox,alive,female,27
39,fox,alive,male,21
39,grass,alive,---,922
39,grass,eaten,---,5
39,rabbit,alive,female,27
39,rabbit,alive,male,20
40,fox,alive,female,27
40,fox,alive,male,21
40,grass,alive,---,921
40,grass,eaten,---,4
40,rabbit,alive,female,27
40,rabbit,alive,male,20
41,fox,alive,female,27
41,fox,alive,male,21
41,grass,alive,---,920
41,grass,eaten,---,3
41,rabbit,alive,female,27
41,rabbit,alive,male,20
42,fox,alive,female,27
42,fox,alive,male,21
42,grass,alive,---,918
42,grass,eaten,---,3
42,rabbit,alive,female,27
42,rabbit,alive,male,20
43,fox,alive,female,27
43,fox,alive,male,21
43,grass,alive,---,916
43,grass,eaten,---,3
43,rabbit,alive,female,27
43,rabbit,alive,male,20
44,fox,alive,female,27
44,fox,alive,male,21
44,grass,alive,---,915
44,grass,eaten,---,1
44,rabbit,alive,female,27
44,rabbit,alive,male,20
45,fox,alive,female,27
45,fox,alive,male,21
45,grass,alive,---,912
45,grass,eaten,---,3
45,rabbit,alive,female,27
45,rabbit,alive,male,20
46,fox,alive,female,27
46,fox,alive,male,21
46,grass,alive,---,912
46,grass,eaten,---,1
46,rabbit,alive,female,27
46,rabbit,alive,male,20
47,fox,alive,female,27
47,fox,alive,male,21
47,grass,alive,---,911
47,grass,eaten,---,1
47,rabbit,alive,female,27
47,rabbit,alive,male,20
48,fox,alive,female,27
48,fox,alive,male,21
48,grass,alive,---,911
48,grass,eaten,---,1
48,rabbit,alive,female,27
48,rabbit,alive,male,20
49,fox,alive,female,27
49,fox,alive,male,21
49,grass,alive,---,911
49,rabbit,alive,female,27
49,rabbit,alive,male,20
50,fox,alive,female,2
50,fox,alive,male,1
50,grass,alive,---,910
50,grass,eaten,---,1
50,rabbit,alive,female,25
50,rabbit,alive,male,15
51,fox,alive,female,2
51,fox,alive,male,1
51,grass,alive,---,909
51,grass,eaten,---,1
51,rabbit,alive,female,25
51,rabbit,alive,male,15
52,fox,alive,female,2
52,fox,alive,male,1
52,grass,alive,---,907
52,grass,eaten,---,2
52,rabbit,alive,female,25
52,rabbit,alive,male,15
53,fox,alive,female,2
53,fox,alive,male,1
53,grass,alive,---,907
53,grass,eaten,---,2
53,rabbit,alive,female,25
53,rabbit,alive,male,15
54,fox,alive,female,2
54,fox,alive,male,1
54,grass,alive,---,903
54,grass,eaten,---,5
54,rabbit,alive,female,25
54,rabbit,alive,male,15
55,fox,alive,female,2
55,fox,alive,male,1
55,grass,alive,---,902
55,grass,eaten,---,2
55,rabbit,alive,female,25
55,rabbit,alive,male,15
56,fox,alive,female,2
56,fox,alive,male,1
56,grass,alive,---,902
56,grass,eaten,---,1
56,rabbit,alive,female,25
56,rabbit,alive,male,15
57,fox,alive,female,2
57,fox,alive,male,1
57,grass,alive,---,901
57,grass,eaten,---,1
57,rabbit,alive,female,25
57,rabbit,alive,male,15
58,fox,alive,female,2
58,fox,alive,male,1
58,grass,alive,---,901
58,grass,eaten,---,1
58,rabbit,alive,female,25
58,rabbit,alive,male,15
59,fox,alive,female,2
59,fox,alive,male,1
59,grass,alive,---,901
59,grass,eaten,---,1
59,rabbit,alive,female,25
59,rabbit,alive,male,15
60,fox,alive,female,2
60,grass,alive,---,900
60,grass,eaten,---,2
60,rabbit,alive,female,25
60,rabbit,alive,male,15
61,fox,alive,female,2
61,grass,alive,---,897
61,grass,eaten,---,4
61,rabbit,alive,female,25
61,rabbit,alive,male,15
62,fox,alive,female,2
62,grass,alive,---,897
62,grass,eaten,---,1
62,rabbit,alive,female,25
62,rabbit,alive,male,15
63,fox,alive,female,2
63,grass,alive,---,896
63,grass,eaten,---,2
63,rabbit,alive,female,25
63,rabbit,alive,male,15
64,fox,alive,female,2
64,grass,alive,---,896
64,grass,eaten,---,1
64,rabbit,alive,female,25
64,rabbit,alive,male,15
65,fox,alive,female,2
65,grass,alive,---,894
65,grass,eaten,---,3
65,rabbit,alive,female,25
65,rabbit,alive,male,15
66,fox,alive,female,2
66,grass,alive,---,894
66,rabbit,alive,female,25
66,rabbit,alive,male,15
67,fox,alive,female,2
67,grass,alive,---,893
67,grass,eaten,---,1
67,rabbit,alive,female,25
67,rabbit,alive,male,15
68,fox,alive,female,1
68,grass,alive,---,890
68,grass,eaten,---,3
68,rabbit,alive,female,25
68,rabbit,alive,male,15
69,fox,alive,female,1
69,grass,alive,---,890
69,grass,eaten,---,1
69,rabbit,alive,female,25
69,rabbit,alive,male,15
70,fox,alive,female,1
70,grass,alive,---,890
70,grass,eaten,---,1
70,rabbit,alive,female,25
70,rabbit,alive,male,15
71,fox,alive,female,1
71,grass,alive,---,890
71,grass,eaten,---,1
71,rabbit,alive,female,25
71,rabbit,alive,male,15
72,fox,alive,female,1
72,grass,alive,---,888
72,grass,eaten,---,2
72,rabbit,alive,female,25
72,rabbit,alive,male,15
73,fox,alive,female,1
73,grass,alive,---,888
73,grass,eaten,---,2
73,rabbit,alive,female,25
73,rabbit,alive,male,15
74,fox,alive,female,1
74,grass,alive,---,887
74,grass,eaten,---,2
74,rabbit,alive,female,25
74,rabbit,alive,male,15
75,grass,alive,---,887
75,grass,eaten,---,1
75,rabbit,alive,female,25
75,rabbit,alive,male,15
76,grass,alive,---,885
76,grass,eaten,---,3
76,rabbit,alive,female,25
76,rabbit,alive,male,15
77,grass,alive,---,883
77,grass,eaten,---,4
77,rabbit,alive,female,25
77,rabbit,alive,male,15
78,grass,alive,---,880
78,grass,eaten,---,5
