frame,kind,death_cause,number of agents
0,fox,alive,50
0,rabbit,alive,50
1,fox,alive,55
1,rabbit,alive,58
2,fox,alive,59
2,rabbit,alive,63
3,fox,alive,62
3,rabbit,alive,67
4,fox,alive,66
4,rabbit,alive,70
5,fox,alive,70
5,rabbit,alive,73
6,fox,alive,72
6,rabbit,alive,77
6,rabbit,eaten,1
7,fox,alive,74
7,rabbit,alive,79
7,rabbit,eaten,1
8,fox,alive,77
8,rabbit,alive,83
9,fox,alive,81
9,rabbit,alive,88
10,fox,alive,83
10,rabbit,alive,88
11,fox,alive,84
11,rabbit,alive,91
12,fox,alive,90
12,rabbit,alive,99
13,fox,alive,96
13,rabbit,alive,105
14,fox,alive,99
14,rabbit,alive,114
15,fox,alive,103
15,rabbit,alive,119
16,fox,alive,105
16,rabbit,alive,126
17,fox,alive,110
17,rabbit,alive,131
18,fox,alive,113
18,rabbit,alive,138
19,fox,alive,118
19,rabbit,alive,145
20,fox,alive,126
20,rabbit,alive,155
21,fox,alive,132
21,rabbit,alive,164
22,fox,alive,133
22,rabbit,alive,175
23,fox,alive,140
23,rabbit,alive,180
24,fox,alive,143
24,rabbit,alive,188
25,fox,alive,147
25,rabbit,alive,194
26,fox,alive,148
26,rabbit,alive,200
27,fox,alive,148
27,rabbit,alive,209
28,fox,alive,151
28,rabbit,alive,220
29,fox,alive,159
29,rabbit,alive,235
30,fox,alive,161
30,rabbit,alive,246
31,fox,alive,172
31,rabbit,alive,264
32,fox,alive,172
32,rabbit,alive,281
33,fox,alive,178
33,rabbit,alive,298
34,fox,alive,185
34,rabbit,alive,312
35,fox,alive,196
35,rabbit,alive,324
36,fox,alive,195
36,rabbit,alive,338
37,fox,alive,204
37,rabbit,alive,353
38,fox,alive,204
38,rabbit,alive,369
39,fox,alive,212
39,rabbit,alive,382
39,rabbit,eaten,1
40,fox,alive,220
40,rabbit,alive,401
40,rabbit,eaten,1
41,fox,alive,232
41,rabbit,alive,422
42,fox,alive,247
42,rabbit,alive,442
42,rabbit,eaten,1
43,fox,alive,251
43,rabbit,alive,464
44,fox,alive,264
44,rabbit,alive,483
45,fox,alive,265
45,rabbit,alive,502
46,fox,alive,270
46,rabbit,alive,528
47,fox,alive,279
47,rabbit,alive,557
48,fox,alive,286
48,rabbit,alive,582
48,rabbit,eaten,1
49,fox,alive,295
49,rabbit,alive,614
50,fox,alive,305
50,rabbit,alive,643
50,rabbit,eaten,1
51,fox,alive,315
51,rabbit,alive,677
52,fox,alive,314
52,rabbit,alive,688
52,rabbit,eaten,1
53,fox,alive,314
53,rabbit,alive,689
54,fox,alive,309
54,rabbit,alive,694
55,fox,alive,306
55,rabbit,alive,697
56,fox,alive,299
56,rabbit,alive,704
57,fox,alive,294
57,rabbit,alive,709
58,fox,alive,288
58,rabbit,alive,715
59,fox,alive,281
59,rabbit,alive,722
60,fox,alive,279
60,rabbit,alive,722
60,rabbit,eaten,2
61,fox,alive,277
61,rabbit,alive,726
62,fox,alive,275
62,rabbit,alive,728
63,fox,alive,273
63,rabbit,alive,730
64,fox,alive,266
64,rabbit,alive,737
65,fox,alive,260
65,rabbit,alive,743
66,fox,alive,251
66,rabbit,alive,751
66,rabbit,eaten,1
67,fox,alive,252
67,rabbit,alive,753
68,fox,alive,244
68,rabbit,alive,760
68,rabbit,eaten,1
69,fox,alive,241
69,rabbit,alive,764
70,fox,alive,238
70,rabbit,alive,764
70,rabbit,eaten,3
71,fox,alive,236
71,rabbit,alive,769
72,fox,alive,229
72,rabbit,alive,774
72,rabbit,eaten,2
73,fox,alive,224
73,rabbit,alive,781
73,rabbit,eaten,1
74,fox,alive,218
74,rabbit,alive,788
75,fox,alive,217
75,rabbit,alive,789
76,fox,alive,214
76,rabbit,alive,791
76,rabbit,eaten,1
77,fox,alive,213
77,rabbit,alive,796
78,fox,alive,214
78,rabbit,alive,795
78,rabbit,eaten,1
79,fox,alive,212
79,rabbit,alive,798
80,fox,alive,211
80,rabbit,alive,799
81,fox,alive,206
81,rabbit,alive,803
81,rabbit,eaten,1
82,fox,alive,200
82,rabbit,alive,809
82,rabbit,eaten,1
83,fox,alive,200
83,rabbit,alive,811
83,rabbit,eaten,1
84,fox,alive,195
84,rabbit,alive,817
85,fox,alive,192
85,rabbit,alive,820
86,fox,alive,190
86,rabbit,alive,821
86,rabbit,eaten,1
87,fox,alive,184
87,rabbit,alive,828
87,rabbit,eaten,1
88,fox,alive,182
88,rabbit,alive,832
89,fox,alive,180
89,rabbit,alive,835
90,fox,alive,174
90,rabbit,alive,841
91,fox,alive,172
91,rabbit,alive,842
91,rabbit,eaten,1
92,fox,alive,168
92,rabbit,alive,845
92,rabbit,eaten,2
93,fox,alive,162
93,rabbit,alive,852
93,rabbit,eaten,1
94,fox,alive,154
94,rabbit,alive,861
95,fox,alive,148
95,rabbit,alive,867
96,fox,alive,145
96,rabbit,alive,870
97,fox,alive,138
97,rabbit,alive,876
97,rabbit,eaten,1
98,fox,alive,134
98,rabbit,alive,882
99,fox,alive,125
99,rabbit,alive,891
100,fox,alive,115
100,rabbit,alive,901
101,fox,alive,108
101,rabbit,alive,906
101,rabbit,eaten,2
102,fox,alive,103
102,rabbit,alive,913
103,fox,alive,103
103,rabbit,alive,912
103,rabbit,eaten,1
104,fox,alive,101
104,rabbit,alive,914
104,rabbit,eaten,1
105,fox,alive,100
105,rabbit,alive,917
106,fox,alive,99
106,rabbit,alive,917
106,rabbit,eaten,1
107,fox,alive,96
107,rabbit,alive,921
108,fox,alive,95
108,rabbit,alive,922
109,fox,alive,95
109,rabbit,alive,922
110,fox,alive,94
110,rabbit,alive,923
111,fox,alive,92
111,rabbit,alive,925
112,fox,alive,91
112,rabbit,alive,926
113,fox,alive,92
113,rabbit,alive,924
113,rabbit,eaten,1
114,fox,alive,91
114,rabbit,alive,926
115,fox,alive,87
115,rabbit,alive,929
115,rabbit,eaten,1
116,fox,alive,87
116,rabbit,alive,930
117,fox,alive,83
117,rabbit,alive,933
117,rabbit,eaten,1
118,fox,alive,83
118,rabbit,alive,934
119,fox,alive,80
119,rabbit,alive,937
120,fox,alive,80
120,rabbit,alive,937
121,fox,alive,78
121,rabbit,alive,939
122,fox,alive,77
122,rabbit,alive,939
122,rabbit,eaten,1
123,fox,alive,78
123,rabbit,alive,939
124,fox,alive,77
124,rabbit,alive,940
125,fox,alive,76
125,rabbit,alive,941
126,fox,alive,75
126,rabbit,alive,942
127,fox,alive,75
127,rabbit,alive,943
128,fox,alive,72
128,rabbit,alive,946
129,fox,alive,72
129,rabbit,alive,947
130,fox,alive,72
130,rabbit,alive,946
130,rabbit,eaten,1
131,fox,alive,72
131,rabbit,alive,947
132,fox,alive,72
132,rabbit,alive,947
133,fox,alive,71
133,rabbit,alive,948
134,fox,alive,71
134,rabbit,alive,948
135,fox,alive,71
135,rabbit,alive,948
136,fox,alive,71
136,rabbit,alive,948
137,fox,alive,69
137,rabbit,alive,950
138,fox,alive,67
138,rabbit,alive,952
139,fox,alive,65
139,rabbit,alive,954
140,fox,alive,64
140,rabbit,alive,955
141,fox,alive,63
141,rabbit,alive,955
141,rabbit,eaten,1
142,fox,alive,62
142,rabbit,alive,957
143,fox,alive,61
143,rabbit,alive,958
144,fox,alive,61
144,rabbit,alive,959
145,fox,alive,59
145,rabbit,alive,961
146,fox,alive,59
146,rabbit,alive,961
147,fox,alive,55
147,rabbit,alive,965
148,fox,alive,51
148,rabbit,alive,969
149,fox,alive,50
