frame,kind,death_cause,gender,number of agents
0,fox,alive,female,22
0,fox,alive,male,28
0,grass,alive,---,978
0,grass,eaten,---,22
0,rabbit,alive,female,28
0,rabbit,alive,male,22
1,fox,alive,female,22
1,fox,alive,male,28
1,grass,alive,---,977
1,grass,eaten,---,17
1,rabbit,alive,female,28
1,rabbit,alive,male,22
2,fox,alive,female,22
2,fox,alive,male,28
2,grass,alive,---,976
2,grass,eaten,---,11
2,rabbit,alive,female,28
2,rabbit,alive,male,22
3,fox,alive,female,22
3,fox,alive,male,28
3,grass,alive,---,976
3,grass,eaten,---,7
3,rabbit,alive,female,28
3,rabbit,alive,male,22
4,fox,alive,female,22
4,fox,alive,male,28
4,grass,alive,---,975
4,grass,eaten,---,6
4,rabbit,alive,female,28
4,rabbit,alive,male,22
5,fox,alive,female,22
5,fox,alive,male,28
5,grass,alive,---,973
5,grass,eaten,---,5
5,rabbit,alive,female,28
5,rabbit,alive,male,22
6,fox,alive,female,22
6,fox,alive,male,28
6,grass,alive,---,971
6,grass,eaten,---,3
6,rabbit,alive,female,28
6,rabbit,alive,male,23
7,fox,alive,female,22
7,fox,alive,male,28
7,grass,alive,---,970
7,grass,eaten,---,1
7,rabbit,alive,female,28
7,rabbit,alive,male,23
8,fox,alive,female,22
8,fox,alive,male,28
8,grass,alive,---,969
8,grass,eaten,---,1
8,rabbit,alive,female,28
8,rabbit,alive,male,23
9,fox,alive,female,22
9,fox,alive,male,28
9,grass,alive,---,969
9,rabbit,alive,female,26
9,rabbit,alive,male,23
9,rabbit,eaten,female,2
10,fox,alive,female,22
10,fox,alive,male,28
10,grass,alive,---,969
10,rabbit,alive,female,26
10,rabbit,alive,male,23
11,fox,alive,female,22
11,fox,alive,male,28
11,grass,alive,---,968
11,grass,eaten,---,1
11,rabbit,alive,female,26
11,rabbit,alive,male,23
12,fox,alive,female,22
12,fox,alive,male,28
12,grass,alive,---,966
12,grass,eaten,---,3
12,rabbit,alive,female,26
12,rabbit,alive,male,23
13,fox,alive,female,22
13,fox,alive,male,28
13,grass,alive,---,965
13,grass,eaten,---,3
13,rabbit,alive,female,26
13,rabbit,alive,male,23
14,fox,alive,female,22
14,fox,alive,male,28
14,grass,alive,---,963
14,grass,eaten,---,3
14,rabbit,alive,female,26
14,rabbit,alive,male,23
15,fox,alive,female,22
15,fox,alive,male,28
15,grass,alive,---,962
15,grass,eaten,---,1
15,rabbit,alive,female,26
15,rabbit,alive,male,23
16,fox,alive,female,22
16,fox,alive,male,28
16,grass,alive,---,961
16,grass,eaten,---,2
16,rabbit,alive,female,26
16,rabbit,alive,male,22
16,rabbit,eaten,male,1
17,fox,alive,female,22
17,fox,alive,male,28
17,grass,alive,---,960
17,grass,eaten,---,1
17,rabbit,alive,female,26
17,rabbit,alive,male,22
18,fox,alive,female,22
18,fox,alive,male,28
18,grass,alive,---,958
18,grass,eaten,---,3
18,rabbit,alive,female,26
18,rabbit,alive,male,22
19,fox,alive,female,22
19,fox,alive,male,28
19,grass,alive,---,957
19,grass,eaten,---,3
19,rabbit,alive,female,26
19,rabbit,alive,male,22
20,fox,alive,female,22
20,fox,alive,male,28
20,grass,alive,---,956
20,grass,eaten,---,1
20,rabbit,alive,female,26
20,rabbit,alive,male,22
21,fox,alive,female,22
21,fox,alive,male,28
21,grass,alive,---,956
21,grass,eaten,---,1
21,rabbit,alive,female,26
21,rabbit,alive,male,22
22,fox,alive,female,22
22,fox,alive,male,28
22,grass,alive,---,955
22,grass,eaten,---,2
22,rabbit,alive,female,26
