frame,kind,death_cause,gender,number of agents
0,fox,alive,female,27
0,fox,alive,male,23
0,grass,alive,---,966
0,grass,eaten,---,34
0,rabbit,alive,female,23
0,rabbit,alive,male,27
1,fox,alive,female,27
1,fox,alive,male,23
1,grass,alive,---,961
1,grass,eaten,---,25
1,rabbit,alive,female,23
1,rabbit,alive,male,27
2,fox,alive,female,27
2,fox,alive,male,23
2,grass,alive,---,957
2,grass,eaten,---,17
2,rabbit,alive,female,23
2,rabbit,alive,male,27
3,fox,alive,female,27
3,fox,alive,male,23
3,grass,alive,---,951
3,grass,eaten,---,13
3,rabbit,alive,female,23
3,rabbit,alive,male,27
4,fox,alive,female,27
4,fox,alive,male,23
4,grass,alive,---,945
4,grass,eaten,---,10
4,rabbit,alive,female,23
4,rabbit,alive,male,27
5,fox,alive,female,27
5,fox,alive,male,23
5,grass,alive,---,943
5,grass,eaten,---,7
5,rabbit,alive,female,23
5,rabbit,alive,male,27
6,fox,alive,female,27
6,fox,alive,male,23
6,grass,alive,---,941
6,grass,eaten,---,7
6,rabbit,alive,female,23
6,rabbit,alive,male,27
7,fox,alive,female,27
7,fox,alive,male,23
7,grass,alive,---,933
7,grass,eaten,---,11
7,rabbit,alive,female,23
7,rabbit,alive,male,27
8,fox,alive,female,27
8,fox,alive,male,23
8,grass,alive,---,930
8,grass,eaten,---,5
8,rabbit,alive,female,23
8,rabbit,alive,male,27
9,fox,alive,female,27
9,fox,alive,male,23
9,grass,alive,---,928
9,grass,eaten,---,5
9,rabbit,alive,female,22
9,rabbit,alive,male,27
9,rabbit,eaten,female,1
10,fox,alive,female,27
10,fox,alive,male,23
10,grass,alive,---,926
10,grass,eaten,---,4
10,rabbit,alive,female,22
10,rabbit,alive,male,27
11,fox,alive,female,27
11,fox,alive,male,23
11,grass,alive,---,926
11,grass,eaten,---,3
11,rabbit,alive,female,22
11,rabbit,alive,male,27
12,fox,alive,female,27
12,fox,alive,male,23
12,grass,alive,---,926
12,grass,eaten,---,2
12,rabbit,alive,female,22
12,rabbit,alive,male,27
13,fox,alive,female,27
13,fox,alive,male,23
13,grass,alive,---,926
13,grass,eaten,---,1
13,rabbit,alive,female,22
13,rabbit,alive,male,27
14,fox,alive,female,27
14,fox,alive,male,23
14,grass,alive,---,924
14,grass,eaten,---,2
14,rabbit,alive,female,22
14,rabbit,alive,male,27
15,fox,alive,female,27
15,fox,alive,male,23
15,grass,alive,---,924
15,grass,eaten,---,1
15,rabbit,alive,female,22
15,rabbit,alive,male,26
15,rabbit,eaten,male,1
16,fox,alive,female,27
16,fox,alive,male,23
16,grass,alive,---,923
16,grass,eaten,---,1
16,rabbit,alive,female,22
16,rabbit,alive,male,26
17,fox,alive,female,27
17,fox,alive,male,23
17,grass,alive,---,922
17,grass,eaten,---,2
17,rabbit,alive,female,22
17,rabbit,alive,male,26
18,fox,alive,female,27
18,fox,alive,male,23
18,grass,alive,---,920
18,grass,eaten,---,3
18,rabbit,alive,female,22
18,rabbit,alive,male,26
19,fox,alive,female,27
19,fox,alive,male,23
19,grass,alive,---,919
19,grass,eaten,---,2
19,rabbit,alive,female,22
19,rabbit,alive,male,26
20,fox,alive,female,27
20,fox,alive,male,23
20,grass,alive,---,918
20,grass,eaten,---,3
20,rabbit,alive,female,22
20,rabbit,alive,male,26
21,fox,alive,female,27
21,fox,alive,male,23
21,grass,alive,---,917
21,grass,eaten,---,1
21,rabbit,alive,female,22
21,rabbit,alive,male,26
22,fox,alive,female,27
22,fox,alive,male,23
22,grass,alive,---,916
22,grass,eaten,---,1
22,rabbit,alive,female,22
22,rabbit,alive,male,26
23,fox,alive,female,27
23,fox,alive,male,23
23,grass,alive,---,914
23,grass,eaten,---,3
23,rabbit,alive,female,22
23,rabbit,alive,male,26
24,fox,alive,female,27
24,fox,alive,male,23
24,grass,alive,---,913
24,grass,eaten,---,2
24,rabbit,alive,female,22
24,rabbit,alive,male,26
25,fox,alive,female,27
25,fox,alive,male,23
25,grass,alive,---,912
25,grass,eaten,---,3
25,rabbit,alive,female,22
25,rabbit,alive,male,26
26,fox,alive,female,27
26,fox,alive,male,23
26,grass,alive,---,911
26,grass,eaten,---,1
26,rabbit,alive,female,22
26,rabbit,alive,male,26
27,fox,alive,female,27
27,fox,alive,male,23
27,grass,alive,---,910
27,grass,eaten,---,1
27,rabbit,alive,female,22
27,rabbit,alive,male,26
28,fox,alive,female,27
28,fox,alive,male,23
28,grass,alive,---,909
28,grass,eaten,---,2
28,rabbit,alive,female,22
28,rabbit,alive,male,26
29,fox,alive,female,27
29,fox,alive,male,23
29,grass,alive,---,909
29,grass,eaten,---,1
29,rabbit,alive,female,22
29,rabbit,alive,male,26
30,fox,alive,female,27
30,fox,alive,male,23
30,grass,alive,---,907
30,grass,eaten,---,2
30,rabbit,alive,female,22
30,rabbit,alive,male,26
31,fox,alive,female,27
31,fox,alive,male,23
31,grass,alive,---,905
31,grass,eaten,---,3
31,rabbit,alive,female,22
31,rabbit,alive,male,26
32,fox,alive,female,27
32,fox,alive,male,23
32,grass,alive,---,904
32,grass,eaten,---,1
