frame,kind,death_cause,gender,number of agents
0,fox,alive,female,26
0,fox,alive,male,24
0,grass,alive,---,976
0,grass,eaten,---,24
0,rabbit,alive,female,20
0,rabbit,alive,male,30
1,fox,alive,female,26
1,fox,alive,male,24
1,grass,alive,---,970
1,grass,eaten,---,18
1,rabbit,alive,female,20
1,rabbit,alive,male,30
2,fox,alive,female,26
2,fox,alive,male,24
2,grass,alive,---,966
2,grass,eaten,---,9
2,rabbit,alive,female,20
2,rabbit,alive,male,30
3,fox,alive,female,26
3,fox,alive,male,24
3,grass,alive,---,967
3,grass,eaten,---,3
3,rabbit,alive,female,20
3,rabbit,alive,male,30
4,fox,alive,female,26
4,fox,alive,male,24
4,grass,alive,---,966
4,grass,eaten,---,2
4,rabbit,alive,female,20
4,rabbit,alive,male,30
5,fox,alive,female,26
5,fox,alive,male,24
5,grass,alive,---,965
5,grass,eaten,---,2
5,rabbit,alive,female,20
5,rabbit,alive,male,30
6,fox,alive,female,26
6,fox,alive,male,24
6,grass,alive,---,963
6,grass,eaten,---,2
6,rabbit,alive,female,20
6,rabbit,alive,male,30
7,fox,alive,female,26
7,fox,alive,male,24
7,grass,alive,---,959
7,grass,eaten,---,6
7,rabbit,alive,female,20
7,rabbit,alive,male,30
8,fox,alive,female,26
8,fox,alive,male,24
8,grass,alive,---,959
8,grass,eaten,---,2
8,rabbit,alive,female,20
8,rabbit,alive,male,30
9,fox,alive,female,26
9,fox,alive,male,24
9,grass,alive,---,956
9,grass,eaten,---,4
9,rabbit,alive,female,20
9,rabbit,alive,male,29
9,rabbit,eaten,male,1
10,fox,alive,female,26
10,fox,alive,male,24
10,grass,alive,---,954
10,grass,eaten,---,5
10,rabbit,alive,female,20
10,rabbit,alive,male,29
11,fox,alive,female,26
11,fox,alive,male,24
11,grass,alive,---,952
11,grass,eaten,---,4
11,rabbit,alive,female,20
11,rabbit,alive,male,29
12,fox,alive,female,26
12,fox,alive,male,24
12,grass,alive,---,951
12,grass,eaten,---,3
12,rabbit,alive,female,20
12,rabbit,alive,male,29
13,fox,alive,female,26
13,fox,alive,male,24
13,grass,alive,---,949
13,grass,eaten,---,5
13,rabbit,alive,female,20
13,rabbit,alive,male,29
14,fox,alive,female,26
14,fox,alive,male,25
14,grass,alive,---,946
14,grass,eaten,---,4
14,rabbit,alive,female,20
14,rabbit,alive,male,29
15,fox,alive,female,26
15,fox,alive,male,25
15,grass,alive,---,943
15,grass,eaten,---,5
15,rabbit,alive,female,20
15,rabbit,alive,male,29
16,fox,alive,female,26
16,fox,alive,male,25
16,grass,alive,---,942
16,grass,eaten,---,4
16,rabbit,alive,female,20
16,rabbit,alive,male,29
17,fox,alive,female,26
