frame,kind,death_cause,gender,number of agents
0,fox,alive,female,20
0,fox,alive,male,30
0,grass,alive,---,972
0,grass,eaten,---,28
0,rabbit,alive,female,21
0,rabbit,alive,male,29
1,fox,alive,female,20
1,fox,alive,male,30
1,grass,alive,---,969
1,grass,eaten,---,18
1,rabbit,alive,female,21
1,rabbit,alive,male,29
2,fox,alive,female,20
2,fox,alive,male,30
2,grass,alive,---,965
2,grass,eaten,---,11
2,rabbit,alive,female,21
2,rabbit,alive,male,29
3,fox,alive,female,20
3,fox,alive,male,30
3,grass,alive,---,965
3,grass,eaten,---,6
3,rabbit,alive,female,21
3,rabbit,alive,male,29
4,fox,alive,female,20
4,fox,alive,male,30
4,grass,alive,---,964
4,grass,eaten,---,2
4,rabbit,alive,female,21
4,rabbit,alive,male,29
5,fox,alive,female,20
5,fox,alive,male,30
5,grass,alive,---,961
5,grass,eaten,---,4
5,rabbit,alive,female,21
5,rabbit,alive,male,29
6,fox,alive,female,20
6,fox,alive,male,30
6,grass,alive,---,960
6,grass,eaten,---,4
6,rabbit,alive,female,21
6,rabbit,alive,male,29
7,fox,alive,female,20
7,fox,alive,male,30
7,grass,alive,---,960
7,grass,eaten,---,1
7,rabbit,alive,female,21
7,rabbit,alive,male,29
8,fox,alive,female,20
8,fox,alive,male,30
8,grass,alive,---,959
8,grass,eaten,---,1
8,rabbit,alive,female,21
8,rabbit,alive,male,29
9,fox,alive,female,20
9,fox,alive,male,30
9,grass,alive,---,957
9,grass,eaten,---,2
9,rabbit,alive,female,21
9,rabbit,alive,male,27
9,rabbit,eaten,male,2
10,fox,alive,female,20
10,fox,alive,male,30
10,grass,alive,---,957
10,grass,eaten,---,2
10,rabbit,alive,female,21
10,rabbit,alive,male,27
11,fox,alive,female,20
11,fox,alive,male,30
11,grass,alive,---,955
11,grass,eaten,---,3
11,rabbit,alive,female,21
11,rabbit,alive,male,26
11,rabbit,eaten,male,1
12,fox,alive,female,20
12,fox,alive,male,30
12,grass,alive,---,954
12,grass,eaten,---,4
12,rabbit,alive,female,21
12,rabbit,alive,male,26
13,fox,alive,female,20
13,fox,alive,male,30
13,grass,alive,---,952
13,grass,eaten,---,3
13,rabbit,alive,female,21
13,rabbit,alive,male,26
14,fox,alive,female,20
14,fox,alive,male,30
14,grass,alive,---,952
14,grass,eaten,---,2
14,rabbit,alive,female,21
14,rabbit,alive,male,26
15,fox,alive,female,20
15,fox,alive,male,30
15,grass,alive,---,952
15,grass,eaten,---,1
15,rabbit,alive,female,21
15,rabbit,alive,male,26
16,fox,alive,female,20
16,fox,alive,male,30
16,grass,alive,---,950
16,grass,eaten,---,2
16,rabbit,alive,female,21
16,rabbit,alive,male,26
17,fox,alive,female,20
17,fox,alive,male,30
17,grass,alive,---,948
17,grass,eaten,---,4
17,rabbit,alive,female,21
17,rabbit,alive,male,26
18,fox,alive,female,20
18,fox,alive,male,30
18,grass,alive,---,948
18,grass,eaten,---,2
18,rabbit,alive,female,21
18,rabbit,alive,male,26
19,fox,alive,female,20
19,fox,alive,male,30
19,grass,alive,---,946
19,grass,eaten,---,2
19,rabbit,alive,female,21
19,rabbit,alive,male,26
20,fox,alive,female,20
20,fox,alive,male,30
20,grass,alive,---,943
20,grass,eaten,---,3
20,rabbit,alive,female,21
