frame,kind,death_cause,gender,number of agents
0,fox,alive,female,19
0,fox,alive,male,31
0,grass,alive,---,972
0,grass,eaten,---,28
0,rabbit,alive,female,23
0,rabbit,alive,male,27
1,fox,alive,female,19
1,fox,alive,male,31
1,grass,alive,---,968
1,grass,eaten,---,16
1,rabbit,alive,female,23
1,rabbit,alive,male,27
2,fox,alive,female,19
2,fox,alive,male,31
2,grass,alive,---,965
2,grass,eaten,---,12
2,rabbit,alive,female,23
2,rabbit,alive,male,27
3,fox,alive,female,19
3,fox,alive,male,31
3,grass,alive,---,963
3,grass,eaten,---,6
3,rabbit,alive,female,23
3,rabbit,alive,male,27
4,fox,alive,female,19
4,fox,alive,male,31
4,grass,alive,---,959
4,grass,eaten,---,5
4,rabbit,alive,female,23
4,rabbit,alive,male,27
5,fox,alive,female,19
5,fox,alive,male,31
5,grass,alive,---,956
5,grass,eaten,---,7
5,rabbit,alive,female,23
5,rabbit,alive,male,27
6,fox,alive,female,19
6,fox,alive,male,31
6,grass,alive,---,954
6,grass,eaten,---,4
6,rabbit,alive,female,23
6,rabbit,alive,male,27
7,fox,alive,female,19
7,fox,alive,male,31
7,grass,alive,---,952
7,grass,eaten,---,3
7,rabbit,alive,female,23
7,rabbit,alive,male,27
8,fox,alive,female,19
8,fox,alive,male,31
8,grass,alive,---,951
8,grass,eaten,---,3
8,rabbit,alive,female,23
8,rabbit,alive,male,27
9,fox,alive,female,19
9,fox,alive,male,31
9,grass,alive,---,950
9,grass,eaten,---,3
9,rabbit,alive,female,22
9,rabbit,alive,male,25
9,rabbit,eaten,female,1
9,rabbit,eaten,male,2
10,fox,alive,female,19
10,fox,alive,male,31
10,grass,alive,---,947
10,grass,eaten,---,4
10,rabbit,alive,female,22
10,rabbit,alive,male,25
11,fox,alive,female,19
11,fox,alive,male,31
11,grass,alive,---,947
11,grass,eaten,---,2
11,rabbit,alive,female,22
11,rabbit,alive,male,24
11,rabbit,eaten,male,1
12,fox,alive,female,19
12,fox,alive,male,31
12,grass,alive,---,946
12,grass,eaten,---,1
12,rabbit,alive,female,22
12,rabbit,alive,male,24
13,fox,alive,female,19
13,fox,alive,male,31
13,grass,alive,---,943
13,grass,eaten,---,4
13,rabbit,alive,female,22
13,rabbit,alive,male,24
14,fox,alive,female,19
14,fox,alive,male,31
14,grass,alive,---,942
14,grass,eaten,---,4
14,rabbit,alive,female,22
14,rabbit,alive,male,24
15,fox,alive,female,19
15,fox,alive,male,31
15,grass,alive,---,940
15,grass,eaten,---,6
15,rabbit,alive,female,22
15,rabbit,alive,male,24
16,fox,alive,female,19
16,fox,alive,male,31
16,grass,alive,---,940
16,grass,eaten,---,2
16,rabbit,alive,female,22
16,rabbit,alive,male,24
17,fox,alive,female,19
17,fox,alive,male,31
17,grass,alive,---,940
17,rabbit,alive,female,21
17,rabbit,alive,male,23
17,rabbit,eaten,female,1
17,rabbit,eaten,male,1
18,fox,alive,female,19
18,fox,alive,male,31
18,grass,alive,---,937
18,grass,eaten,---,3
18,rabbit,alive,female,21
18,rabbit,alive,male,23
19,fox,alive,female,19
19,fox,alive,male,31
19,grass,alive,---,937
19,grass,eaten,---,1
19,rabbit,alive,female,21
19,rabbit,alive,male,23
20,fox,alive,female,19
20,fox,alive,male,32
20,grass,alive,---,936
20,grass,eaten,---,2
20,rabbit,alive,female,21
20,rabbit,alive,male,23
21,fox,alive,female,19
21,fox,alive,male,32
21,grass,alive,---,934
21,grass,eaten,---,4
21,rabbit,alive,female,21
21,rabbit,alive,male,23
22,fox,alive,female,20
22,fox,alive,male,32
22,grass,alive,---,934
22,grass,eaten,---,4
22,rabbit,alive,female,21
22,rabbit,alive,male,23
23,fox,alive,female,20
23,fox,alive,male,32
23,grass,alive,---,933
23,grass,eaten,---,2
23,rabbit,alive,female,21
23,rabbit,alive,male,23
24,fox,alive,female,20
24,fox,alive,male,32
24,grass,alive,---,932
