frame,kind,death_cause,gender,number of agents
0,fox,alive,female,28
0,fox,alive,male,22
0,grass,alive,---,975
0,grass,eaten,---,25
0,rabbit,alive,female,25
0,rabbit,alive,male,25
1,fox,alive,female,28
1,fox,alive,male,22
1,grass,alive,---,969
1,grass,eaten,---,14
1,rabbit,alive,female,25
1,rabbit,alive,male,25
2,fox,alive,female,28
2,fox,alive,male,22
2,grass,alive,---,967
2,grass,eaten,---,10
2,rabbit,alive,female,25
2,rabbit,alive,male,25
3,fox,alive,female,28
3,fox,alive,male,22
3,grass,alive,---,964
3,grass,eaten,---,5
3,rabbit,alive,female,25
3,rabbit,alive,male,25
4,fox,alive,female,28
4,fox,alive,male,22
4,grass,alive,---,960
4,grass,eaten,---,5
4,rabbit,alive,female,25
4,rabbit,alive,male,25
5,fox,alive,female,28
5,fox,alive,male,23
5,grass,alive,---,959
5,grass,eaten,---,1
5,rabbit,alive,female,25
5,rabbit,alive,male,25
6,fox,alive,female,28
6,fox,alive,male,23
6,grass,alive,---,958
6,grass,eaten,---,1
6,rabbit,alive,female,25
6,rabbit,alive,male,25
7,fox,alive,female,28
7,fox,alive,male,23
7,grass,alive,---,956
7,grass,eaten,---,2
7,rabbit,alive,female,25
7,rabbit,alive,male,25
8,fox,alive,female,28
8,fox,alive,male,23
8,grass,alive,---,955
8,grass,eaten,---,1
8,rabbit,alive,female,25
8,rabbit,alive,male,25
9,fox,alive,female,28
9,fox,alive,male,23
9,grass,alive,---,953
9,grass,eaten,---,2
9,rabbit,alive,female,25
9,rabbit,alive,male,25
10,fox,alive,female,28
10,fox,alive,male,23
10,grass,alive,---,952
10,grass,eaten,---,3
10,rabbit,alive,female,25
10,rabbit,alive,male,25
11,fox,alive,female,28
11,fox,alive,male,23
11,grass,alive,---,951
11,grass,eaten,---,2
11,rabbit,alive,female,25
11,rabbit,alive,male,25
12,fox,alive,female,28
12,fox,alive,male,23
12,grass,alive,---,950
12,grass,eaten,---,2
12,rabbit,alive,female,25
12,rabbit,alive,male,25
13,fox,alive,female,28
13,fox,alive,male,23
13,grass,alive,---,948
13,grass,eaten,---,4
13,rabbit,alive,female,25
13,rabbit,alive,male,25
14,fox,alive,female,28
14,fox,alive,male,23
14,grass,alive,---,948
14,grass,eaten,---,2
14,rabbit,alive,female,25
14,rabbit,alive,male,25
15,fox,alive,female,28
15,fox,alive,male,23
15,grass,alive,---,944
15,grass,eaten,---,4
15,rabbit,alive,female,25
15,rabbit,alive,male,25
16,fox,alive,female,28
16,fox,alive,male,23
16,grass,alive,---,943
16,grass,eaten,---,2
16,rabbit,alive,female,25
16,rabbit,alive,male,25
17,fox,alive,female,28
17,fox,alive,male,23
17,grass,alive,---,941
17,grass,eaten,---,3
17,rabbit,alive,female,25
17,rabbit,alive,male,25
18,fox,alive,female,28
18,fox,alive,male,23
18,grass,alive,---,939
18,grass,eaten,---,2
18,rabbit,alive,female,25
18,rabbit,alive,male,25
19,fox,alive,female,28
19,fox,alive,male,23
19,grass,alive,---,937
19,grass,eaten,---,2
19,rabbit,alive,female,25
19,rabbit,alive,male,25
20,fox,alive,female,28
20,fox,alive,male,23
20,grass,alive,---,933
20,grass,eaten,---,6
20,rabbit,alive,female,25
20,rabbit,alive,male,25
21,fox,alive,female,28
21,fox,alive,male,23
21,grass,alive,---,931
21,grass,eaten,---,4
21,rabbit,alive,female,25
21,rabbit,alive,male,25
22,fox,alive,female,28
22,fox,alive,male,23
22,grass,alive,---,929
22,grass,eaten,---,4
22,rabbit,alive,female,25
22,rabbit,alive,male,24
22,rabbit,eaten,male,1
23,fox,alive,female,28
23,fox,alive,male,23
23,grass,alive,---,928
23,grass,eaten,---,5
23,rabbit,alive,female,25
23,rabbit,alive,male,24
24,fox,alive,female,28
24,fox,alive,male,24
24,grass,alive,---,927
24,grass,eaten,---,3
24,rabbit,alive,female,25
24,rabbit,alive,male,24
25,fox,alive,female,28
25,fox,alive,male,24
25,grass,alive,---,926
25,grass,eaten,---,3
25,rabbit,alive,female,25
25,rabbit,alive,male,24
26,fox,alive,female,28
26,fox,alive,male,24
26,grass,alive,---,926
26,rabbit,alive,female,25
26,rabbit,alive,male,24
27,fox,alive,female,28
27,fox,alive,male,23
27,grass,alive,---,926
27,rabbit,alive,female,25
27,rabbit,alive,male,24
28,fox,alive,female,27
28,fox,alive,male,23
28,grass,alive,---,923
28,grass,eaten,---,3
28,rabbit,alive,female,25
28,rabbit,alive,male,24
29,fox,alive,female,27
29,fox,alive,male,23
29,grass,alive,---,923
29,grass,eaten,---,1
29,rabbit,alive,female,25
29,rabbit,alive,male,24
30,fox,alive,female,27
30,fox,alive,male,23
30,grass,alive,---,921
30,grass,eaten,---,3
30,rabbit,alive,female,25
30,rabbit,alive,male,24
31,fox,alive,female,27
31,fox,alive,male,23
31,grass,alive,---,919
31,grass,eaten,---,4
31,rabbit,alive,female,26
31,rabbit,alive,male,24
32,fox,alive,female,27
32,fox,alive,male,23
32,grass,alive,---,918
32,grass,eaten,---,2
32,rabbit,alive,female,26
32,rabbit,alive,male,24
33,fox,alive,female,27
33,fox,alive,male,23
33,grass,alive,---,917
33,grass,eaten,---,3
33,rabbit,alive,female,26
33,rabbit,alive,male,24
34,fox,alive,female,27
34,fox,alive,male,22
34,grass,alive,---,915
34,grass,eaten,---,5
34,rabbit,alive,female,26
34,rabbit,alive,male,24
35,fox,alive,female,27
35,fox,alive,male,21
35,grass,alive,---,913
35,grass,eaten,---,5
35,rabbit,alive,female,26
35,rabbit,alive,male,24
36,fox,alive,female,27
36,fox,alive,male,21
36,grass,alive,---,911
36,grass,eaten,---,5
36,rabbit,alive,female,26
36,rabbit,alive,male,24
37,fox,alive,female,26
37,fox,alive,male,21
37,grass,alive,---,911
37,grass,eaten,---,3
37,rabbit,alive,female,26
37,rabbit,alive,male,24
38,fox,alive,female,26
38,fox,alive,male,21
38,grass,alive,---,910
38,grass,eaten,---,3
38,rabbit,alive,female,26
38,rabbit,alive,male,24
39,fox,alive,female,26
39,fox,alive,male,21
39,grass,alive,---,910
39,grass,eaten,---,1
39,rabbit,alive,female,26
39,rabbit,alive,male,24
40,fox,alive,female,26
40,fox,alive,male,21
40,grass,alive,---,908
40,grass,eaten,---,2
40,rabbit,alive,female,26
40,rabbit,alive,male,24
41,fox,alive,female,26
41,fox,alive,male,21
41,grass,alive,---,908
41,rabbit,alive,female,25
41,rabbit,alive,male,24
42,fox,alive,female,26
42,fox,alive,male,21
42,grass,alive,---,907
42,grass,eaten,---,1
42,rabbit,alive,female,25
42,rabbit,alive,male,24
43,fox,alive,female,26
43,fox,alive,male,21
43,grass,alive,---,906
43,grass,eaten,---,2
43,rabbit,alive,female,25
43,rabbit,alive,male,24
44,fox,alive,female,26
44,fox,alive,male,21
44,grass,alive,---,903
44,grass,eaten,---,3
44,rabbit,alive,female,25
44,rabbit,alive,male,24
45,fox,alive,female,26
45,fox,alive,male,21
45,grass,alive,---,901
45,grass,eaten,---,2
45,rabbit,alive,female,25
45,rabbit,alive,male,24
46,fox,alive,female,26
46,fox,alive,male,21
46,grass,alive,---,899
46,grass,eaten,---,4
46,rabbit,alive,female,25
46,rabbit,alive,male,24
47,fox,alive,female,26
47,fox,alive,male,21
47,grass,alive,---,898
47,grass,eaten,---,2
47,rabbit,alive,female,25
47,rabbit,alive,male,24
48,fox,alive,female,26
48,fox,alive,male,21
48,grass,alive,---,896
48,grass,eaten,---,4
48,rabbit,alive,female,25
48,rabbit,alive,male,24
49,fox,alive,female,26
49,fox,alive,male,21
49,grass,alive,---,893
49,grass,eaten,---,5
49,rabbit,alive,female,25
49,rabbit,alive,male,24
50,fox,alive,female,1
50,fox,alive,male,1
50,grass,alive,---,892
50,grass,eaten,---,4
50,rabbit,alive,female,23
50,rabbit,alive,male,19
51,fox,alive,female,1
51,grass,alive,---,892
51,grass,eaten,---,3
51,rabbit,alive,female,23
51,rabbit,alive,male,19
52,fox,alive,female,1
52,grass,alive,---,890
52,grass,eaten,---,3
52,rabbit,alive,female,23
52,rabbit,alive,male,19
53,fox,alive,female,1
53,grass,alive,---,890
53,grass,eaten,---,2
53,rabbit,alive,female,23
53,rabbit,alive,male,19
54,fox,alive,female,1
54,grass,alive,---,888
54,grass,eaten,---,3
54,rabbit,alive,female,23
54,rabbit,alive,male,19
55,fox,alive,female,1
55,grass,alive,---,887
55,grass,eaten,---,2
55,rabbit,alive,female,23
55,rabbit,alive,male,19
56,fox,alive,female,1
56,grass,alive,---,887
56,rabbit,alive,female,23
56,rabbit,alive,male,19
57,fox,alive,female,1
57,grass,alive,---,886
57,grass,eaten,---,1
57,rabbit,alive,female,23
57,rabbit,alive,male,19
58,fox,alive,female,1
58,grass,alive,---,886
58,grass,eaten,---,1
58,rabbit,alive,female,23
58,rabbit,alive,male,19
59,fox,alive,female,1
59,grass,alive,---,885
59,grass,eaten,---,2
59,rabbit,alive,female,23
59,rabbit,alive,male,19
60,fox,alive,female,1
60,grass,alive,---,885
60,grass,eaten,---,1
60,rabbit,alive,female,23
60,rabbit,alive,male,19
61,fox,alive,female,1
61,grass,alive,---,884
61,grass,eaten,---,2
61,rabbit,alive,female,23
61,rabbit,alive,male,19
62,fox,alive,female,1
62,grass,alive,---,884
62,grass,eaten,---,1
62,rabbit,alive,female,23
62,rabbit,alive,male,19
63,fox,alive,female,1
63,grass,alive,---,884
63,rabbit,alive,female,23
63,rabbit,alive,male,19
64,fox,alive,female,1
64,grass,alive,---,883
64,grass,eaten,---,1
64,rabbit,alive,female,23
64,rabbit,alive,male,19
65,fox,alive,female,1
65,grass,alive,---,882
65,grass,eaten,---,1
65,rabbit,alive,female,23
65,rabbit,alive,male,19
66,fox,alive,female,1
66,grass,alive,---,880
66,grass,eaten,---,2
66,rabbit,alive,female,23
66,rabbit,alive,male,19
67,fox,alive,female,1
67,grass,alive,---,880
67,rabbit,alive,female,23
67,rabbit,alive,male,19
68,fox,alive,female,1
68,grass,alive,---,878
68,grass,eaten,---,2
68,rabbit,alive,female,23
68,rabbit,alive,male,19
69,fox,alive,female,1
69,grass,alive,---,876
69,grass,eaten,---,3
69,rabbit,alive,female,23
69,rabbit,alive,male,19
70,fox,alive,female,1
70,grass,alive,---,875
70,grass,eaten,---,2
70,rabbit,alive,female,23
70,rabbit,alive,male,19
71,fox,alive,female,1
71,grass,alive,---,873
71,grass,eaten,---,3
71,rabbit,alive,female,23
71,rabbit,alive,male,19
72,fox,alive,female,1
72,grass,alive,---,870
72,grass,eaten,---,3
72,rabbit,alive,female,23
72,rabbit,alive,male,19
73,grass,alive,---,868
73,grass,eaten,---,3
73,rabbit,alive,female,23
73,rabbit,alive,male,19
74,grass,alive,---,868
74,grass,eaten,---,2
74,rabbit,alive,female,23
74,rabbit,alive,male,19
75,grass,alive,---,867
75,grass,eaten,---,2
75,rabbit,alive,female,23
75,rabbit,alive,male,19
76,grass,alive,---,867
76,grass,eaten,---,1
76,rabbit,alive,female,23
76,rabbit,alive,male,19
77,grass,alive,---,867
77,grass,eaten,---,1
77,rabbit,alive,female,23
77,rabbit,alive,male,19
78,grass,alive,---,865
78,grass,eaten,---,3
78,rabbit,alive,female,23
78,rabbit,alive,male,19
79,grass,alive,---,863
79,grass,eaten,---,2
79,rabbit,alive,female,23
79,rabbit,alive,male,19
80,grass,alive,---,859
80,grass,eaten,---,5
80,rabbit,alive,female,23
80,rabbit,alive,male,19
81,grass,alive,---,859
81,grass,eaten,---,2
81,rabbit,alive,female,22
