frame,kind,death_cause,gender,number of agents
0,fox,alive,female,28
0,fox,alive,male,22
0,rabbit,alive,female,23
0,rabbit,alive,male,27
1,fox,alive,female,28
1,fox,alive,male,22
1,rabbit,alive,female,23
1,rabbit,alive,male,27
2,fox,alive,female,28
2,fox,alive,male,22
2,rabbit,alive,female,23
2,rabbit,alive,male,27
3,fox,alive,female,28
3,fox,alive,male,22
3,rabbit,alive,female,23
3,rabbit,alive,male,27
4,fox,alive,female,28
4,fox,alive,male,22
4,rabbit,alive,female,23
4,rabbit,alive,male,27
5,fox,alive,female,28
5,fox,alive,male,22
5,rabbit,alive,female,23
5,rabbit,alive,male,27
6,fox,alive,female,28
6,fox,alive,male,22
6,rabbit,alive,female,23
6,rabbit,alive,male,27
7,fox,alive,female,28
7,fox,alive,male,22
7,rabbit,alive,female,23
7,rabbit,alive,male,27
8,fox,alive,female,28
8,fox,alive,male,22
8,rabbit,alive,female,24
8,rabbit,alive,male,27
9,fox,alive,female,28
9,fox,alive,male,22
9,rabbit,alive,female,24
9,rabbit,alive,male,27
10,fox,alive,female,28
10,fox,alive,male,22
10,rabbit,alive,female,23
10,rabbit,alive,male,27
10,rabbit,eaten,female,1
11,fox,alive,female,28
11,fox,alive,male,22
11,rabbit,alive,female,23
11,rabbit,alive,male,27
12,fox,alive,female,28
12,fox,alive,male,22
12,rabbit,alive,female,23
12,rabbit,alive,male,27
13,fox,alive,female,28
13,fox,alive,male,22
13,rabbit,alive,female,23
13,rabbit,alive,male,27
14,fox,alive,female,28
14,fox,alive,male,22
14,rabbit,alive,female,23
14,rabbit,alive,male,27
15,fox,alive,female,28
15,fox,alive,male,22
15,rabbit,alive,female,22
15,rabbit,alive,male,27
15,rabbit,eaten,female,1
16,fox,alive,female,28
16,fox,alive,male,22
16,rabbit,alive,female,23
16,rabbit,alive,male,27
17,fox,alive,female,28
17,fox,alive,male,22
17,rabbit,alive,female,23
17,rabbit,alive,male,27
18,fox,alive,female,28
18,fox,alive,male,22
18,rabbit,alive,female,23
18,rabbit,alive,male,27
19,fox,alive,female,28
19,fox,alive,male,22
19,rabbit,alive,female,23
19,rabbit,alive,male,27
20,fox,alive,female,28
20,fox,alive,male,22
20,rabbit,alive,female,23
20,rabbit,alive,male,27
21,fox,alive,female,29
21,fox,alive,male,22
21,rabbit,alive,female,23
21,rabbit,alive,male,27
22,fox,alive,female,29
22,fox,alive,male,22
22,rabbit,alive,female,23
22,rabbit,alive,male,27
23,fox,alive,female,29
23,fox,alive,male,22
23,rabbit,alive,female,23
23,rabbit,alive,male,27
24,fox,alive,female,29
24,fox,alive,male,22
24,rabbit,alive,female,23
24,rabbit,alive,male,27
25,fox,alive,female,29
25,fox,alive,male,22
25,rabbit,alive,female,22
25,rabbit,alive,male,27
25,rabbit,eaten,female,1
26,fox,alive,female,29
26,fox,alive,male,22
26,rabbit,alive,female,22
26,rabbit,alive,male,27
27,fox,alive,female,29
27,fox,alive,male,22
27,rabbit,alive,female,22
27,rabbit,alive,male,27
28,fox,alive,female,29
28,fox,alive,male,22
28,rabbit,alive,female,22
28,rabbit,alive,male,27
29,fox,alive,female,29
29,fox,alive,male,22
29,rabbit,alive,female,22
29,rabbit,alive,male,27
30,fox,alive,female,29
30,fox,alive,male,22
30,rabbit,alive,female,22
30,rabbit,alive,male,27
31,fox,alive,female,29
31,fox,alive,male,22
31,rabbit,alive,female,22
31,rabbit,alive,male,27
32,fox,alive,female,29
32,fox,alive,male,22
32,rabbit,alive,female,22
32,rabbit,alive,male,27
33,fox,alive,female,29
33,fox,alive,male,22
33,rabbit,alive,female,22
33,rabbit,alive,male,27
34,fox,alive,female,29
34,fox,alive,male,22
34,rabbit,alive,female,22
34,rabbit,alive,male,27
35,fox,alive,female,29
35,fox,alive,male,22
35,rabbit,alive,female,22
35,rabbit,alive,male,27
36,fox,alive,female,29
36,fox,alive,male,22
36,rabbit,alive,female,22
36,rabbit,alive,male,27
37,fox,alive,female,29
37,fox,alive,male,22
37,rabbit,alive,female,22
37,rabbit,alive,male,26
37,rabbit,eaten,male,1
38,fox,alive,female,29
38,fox,alive,male,22
38,rabbit,alive,female,21
38,rabbit,alive,male,26
38,rabbit,eaten,female,1
39,fox,alive,female,29
39,fox,alive,male,22
39,rabbit,alive,female,21
39,rabbit,alive,male,26
40,fox,alive,female,29
40,fox,alive,male,22
40,rabbit,alive,female,21
40,rabbit,alive,male,26
41,fox,alive,female,28
41,fox,alive,male,22
41,rabbit,alive,female,21
41,rabbit,alive,male,26
42,fox,alive,female,28
42,fox,alive,male,22
42,rabbit,alive,female,21
42,rabbit,alive,male,26
43,fox,alive,female,28
43,fox,alive,male,22
43,rabbit,alive,female,21
43,rabbit,alive,male,26
44,fox,alive,female,28
44,fox,alive,male,22
44,rabbit,alive,female,21
44,rabbit,alive,male,26
45,fox,alive,female,28
45,fox,alive,male,22
45,rabbit,alive,female,20
45,rabbit,alive,male,26
45,rabbit,eaten,female,1
46,fox,alive,female,28
46,fox,alive,male,22
46,rabbit,alive,female,20
46,rabbit,alive,male,26
47,fox,alive,female,28
47,fox,alive,male,22
47,rabbit,alive,female,20
47,rabbit,alive,male,26
48,fox,alive,female,28
48,fox,alive,male,22
48,rabbit,alive,female,20
48,rabbit,alive,male,26
49,fox,alive,female,28
49,fox,alive,male,22
49,rabbit,alive,female,20
49,rabbit,alive,male,26
50,fox,alive,female,4
50,fox,alive,male,2
50,rabbit,alive,female,20
50,rabbit,alive,male,26
51,fox,alive,female,4
51,fox,alive,male,2
51,rabbit,alive,female,20
51,rabbit,alive,male,26
52,fox,alive,female,4
52,fox,alive,male,2
52,rabbit,alive,female,20
52,rabbit,alive,male,26
53,fox,alive,female,4
53,fox,alive,male,2
53,rabbit,alive,female,20
53,rabbit,alive,male,26
54,fox,alive,female,4
54,fox,alive,male,2
54,rabbit,alive,female,20
54,rabbit,alive,male,26
55,fox,alive,female,4
55,fox,alive,male,2
55,rabbit,alive,female,20
55,rabbit,alive,male,26
56,fox,alive,female,4
56,fox,alive,male,2
56,rabbit,alive,female,20
56,rabbit,alive,male,26
57,fox,alive,female,4
57,fox,alive,male,2
57,rabbit,alive,female,20
57,rabbit,alive,male,26
58,fox,alive,female,4
58,fox,alive,male,2
58,rabbit,alive,female,20
58,rabbit,alive,male,26
59,fox,alive,female,4
59,fox,alive,male,2
59,rabbit,alive,female,20
59,rabbit,alive,male,26
60,fox,alive,female,4
60,fox,alive,male,2
60,rabbit,alive,female,20
60,rabbit,alive,male,26
61,fox,alive,female,4
61,fox,alive,male,2
61,rabbit,alive,female,20
61,rabbit,alive,male,26
62,fox,alive,female,4
62,fox,alive,male,2
62,rabbit,alive,female,20
62,rabbit,alive,male,26
63,fox,alive,female,4
63,fox,alive,male,2
63,rabbit,alive,female,20
63,rabbit,alive,male,26
64,fox,alive,female,4
64,fox,alive,male,2
64,rabbit,alive,female,20
64,rabbit,alive,male,26
65,fox,alive,female,4
65,fox,alive,male,2
65,rabbit,alive,female,20
65,rabbit,alive,male,26
66,fox,alive,female,3
66,fox,alive,male,2
66,rabbit,alive,female,20
66,rabbit,alive,male,26
67,fox,alive,female,3
67,fox,alive,male,2
67,rabbit,alive,female,20
67,rabbit,alive,male,26
68,fox,alive,female,3
68,fox,alive,male,2
68,rabbit,alive,female,20
68,rabbit,alive,male,26
69,fox,alive,female,3
69,fox,alive,male,2
69,rabbit,alive,female,20
69,rabbit,alive,male,26
70,fox,alive,female,3
70,fox,alive,male,2
70,rabbit,alive,female,20
70,rabbit,alive,male,26
71,fox,alive,female,2
71,fox,alive,male,2
71,rabbit,alive,female,20
71,rabbit,alive,male,26
72,fox,alive,female,2
72,fox,alive,male,2
72,rabbit,alive,female,20
72,rabbit,alive,male,26
73,fox,alive,female,2
73,fox,alive,male,2
73,rabbit,alive,female,20
73,rabbit,alive,male,26
74,fox,alive,female,2
74,fox,alive,male,2
74,rabbit,alive,female,20
74,rabbit,alive,male,26
75,fox,alive,female,2
75,fox,alive,male,2
75,rabbit,alive,female,20
75,rabbit,alive,male,26
76,fox,alive,female,2
76,fox,alive,male,1
76,rabbit,alive,female,20
76,rabbit,alive,male,26
77,fox,alive,female,2
77,fox,alive,male,1
77,rabbit,alive,female,20
77,rabbit,alive,male,26
78,fox,alive,female,2
78,fox,alive,male,1
78,rabbit,alive,female,20
78,rabbit,alive,male,26
79,fox,alive,female,2
79,fox,alive,male,1
79,rabbit,alive,female,20
79,rabbit,alive,male,26
80,fox,alive,female,2
80,fox,alive,male,1
80,rabbit,alive,female,20
80,rabbit,alive,male,26
81,fox,alive,female,2
81,fox,alive,male,1
81,rabbit,alive,female,20
81,rabbit,alive,male,26
82,fox,alive,female,2
82,fox,alive,male,1
82,rabbit,alive,female,20
82,rabbit,alive,male,26
83,fox,alive,female,2
83,fox,alive,male,1
83,rabbit,alive,female,20
83,rabbit,alive,male,26
84,fox,alive,female,2
84,fox,alive,male,1
84,rabbit,alive,female,20
84,rabbit,alive,male,26
85,fox,alive,female,2
85,fox,alive,male,1
85,rabbit,alive,female,20
85,rabbit,alive,male,26
86,fox,alive,female,2
86,fox,alive,male,1
86,rabbit,alive,female,20
86,rabbit,alive,male,26
87,fox,alive,female,2
87,fox,alive,male,1
87,rabbit,alive,female,20
87,rabbit,alive,male,26
88,fox,alive,female,2
88,rabbit,alive,female,20
88,rabbit,alive,male,26
89,fox,alive,female,1
89,rabbit,alive,female,20
89,rabbit,alive,male,26
90,fox,alive,female,1
90,rabbit,alive,female,20
90,rabbit,alive,male,26
91,fox,alive,female,1
91,rabbit,alive,female,20
91,rabbit,alive,male,26
92,fox,alive,female,1
92,rabbit,alive,female,20
92,rabbit,alive,male,26
93,fox,alive,female,1
93,rabbit,alive,female,20
93,rabbit,alive,male,26
94,fox,alive,female,1
94,rabbit,alive,female,20
94,rabbit,alive,male,26
95,fox,alive,female,1
95,rabbit,alive,female,20
95,rabbit,alive,male,26
96,rabbit,alive,female,20
96,rabbit,alive,male,26
97,rabbit,alive,female,20
97,rabbit,alive,male,26
98,rabbit,alive,female,20
98,rabbit,alive,male,26
99,rabbit,alive,female,20
99,rabbit,alive,male,26
100,rabbit,alive,female,20
100,rabbit,alive,male,26
101,rabbit,alive,female,20
101,rabbit,alive,male,26
102,rabbit,alive,female,20
102,rabbit,alive,male,26
103,rabbit,alive,female,20
103,rabbit,alive,male,26
104,rabbit,alive,female,20
104,rabbit,alive,male,26
105,rabbit,alive,female,20
105,rabbit,alive,male,26
106,rabbit,alive,female,20
106,rabbit,alive,male,26
107,rabbit,alive,female,20
107,rabbit,alive,male,26
108,rabbit,alive,female,20
108,rabbit,alive,male,26
109,rabbit,alive,female,20
109,rabbit,alive,male,26
110,rabbit,alive,female,20
110,rabbit,alive,male,26
111,rabbit,alive,female,20
111,rabbit,alive,male,26
112,rabbit,alive,female,20
112,rabbit,alive,male,26
113,rabbit,alive,female,20
113,rabbit,alive,male,26
114,rabbit,alive,female,20
114,rabbit,alive,male,26
115,rabbit,alive,female,20
115,rabbit,alive,male,26
116,rabbit,alive,female,20
116,rabbit,alive,male,26
117,rabbit,alive,female,20
117,rabbit,alive,male,26
118,rabbit,alive,female,20
118,rabbit,alive,male,26
119,rabbit,alive,female,20
119,rabbit,alive,male,26
120,rabbit,alive,female,20
120,rabbit,alive,male,26
121,rabbit,alive,female,20
121,rabbit,alive,male,26
122,rabbit,alive,female,20
122,rabbit,alive,male,26
123,rabbit,alive,female,20
